圖資名稱,製作說明,圖資類型,圖資坐標系統,上架年度,連結網址
不分幅_全台20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/7ba93e3f-5640-4e1e-8c98-cfbab3fbcdd2/不分幅_全台20MDSM(2024).zip
分幅_南投縣20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/25dc6d9b-7606-47e8-bad6-733ce05fa967/分幅_南投縣20MDSM(2024).zip
分幅_嘉義市20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/cdd3151a-6eb4-4377-88b4-42998779eb7f/分幅_嘉義市20MDSM(2024).zip
分幅_嘉義縣20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/e329eb7c-015f-44bf-ab14-479040abc6d3/分幅_嘉義縣20MDSM(2024).zip
分幅_基隆市20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/25fa5298-2c5b-4722-ae40-bb5473e4f9a7/分幅_基隆市20MDSM(2024).zip
分幅_宜蘭縣20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/fbafb703-852c-4f82-bd99-d9ae6cc327d4/分幅_宜蘭縣20MDSM(2024).zip
分幅_屏東縣20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/2aad7e7b-ebdf-420a-88d0-c09fe6ea9ce3/分幅_屏東縣20MDSM(2024).zip
分幅_彰化縣20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/d721ae5c-5308-4b01-8db1-c4ee85288711/分幅_彰化縣20MDSM(2024).zip
分幅_新北市20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/2d7b3efc-d556-4460-a924-ce5b2bffce46/分幅_新北市20MDSM(2024).zip
分幅_新竹市20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/da95e9b2-3a2f-466a-b91e-0106dee9917a/分幅_新竹市20MDSM(2024).zip
分幅_新竹縣20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/217664a3-1f74-4d67-a59a-7d26e687a9a9/分幅_新竹縣20MDSM(2024).zip
分幅_桃園市20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/8af39d06-fe18-45de-8735-d3020a8b2ce3/分幅_桃園市20MDSM(2024).zip
分幅_臺中市20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/0d02c8a7-b0ed-4091-97f2-c32974c73a0f/分幅_臺中市20MDSM(2024).zip
分幅_臺北市20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/29ea0a15-926b-4495-8e9e-90105c760b16/分幅_臺北市20MDSM(2024).zip
分幅_臺南市20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/4c53b3b7-de5a-430a-a3eb-bb44fca0071e/分幅_臺南市20MDSM(2024).zip
分幅_臺東縣20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/7541633f-40af-491a-a827-3b6e89b72fae/分幅_臺東縣20MDSM(2024).zip
分幅_花蓮縣20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/6552f331-0a9e-4e1d-ace9-cd74e81cbec6/分幅_花蓮縣20MDSM(2024).zip
分幅_苗栗縣20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/770e9d92-47e8-41f8-90e1-d4accae4bb90/分幅_苗栗縣20MDSM(2024).zip
分幅_雲林縣20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/1a561081-32ee-4395-b8fe-95d81e0f211e/分幅_雲林縣20MDSM(2024).zip
分幅_高雄市20MDSM(2024),航空攝影測量,數值地表模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/795b86e2-df14-43d4-b2c4-fbb9257e1247/分幅_高雄市20MDSM(2024).zip
